timestamp,hour,day_of_week,voltage,current,power,power_factor,frequency,condition
2026-01-01 00:00:00,0,3,227.99,0.633,134.84,0.934,49.96,NORMAL
2026-01-01 00:15:00,0,3,231.87,0.73,165.59,0.978,49.975,NORMAL
2026-01-01 00:30:00,0,3,226.9,0.365,79.47,0.961,49.955,NORMAL
2026-01-01 00:45:00,0,3,232.25,0.672,150.79,0.966,49.969,NORMAL
2026-01-01 01:00:00,1,3,228.81,0.484,105.76,0.955,50.094,NORMAL
2026-01-01 01:15:00,1,3,228.91,0.433,95.54,0.963,49.917,NORMAL
2026-01-01 01:30:00,1,3,226.77,0.833,181.3,0.96,50.096,NORMAL
2026-01-01 01:45:00,1,3,231.25,0.846,178.05,0.91,49.967,NORMAL
2026-01-01 02:00:00,2,3,230.2,0.575,128.28,0.969,50.07,NORMAL
2026-01-01 02:15:00,2,3,229.87,0.804,170.91,0.925,50.014,NORMAL
2026-01-01 02:30:00,2,3,229.51,0.52,113.67,0.952,50.105,NORMAL
2026-01-01 02:45:00,2,3,230.83,0.708,153.08,0.937,49.96,NORMAL
2026-01-01 03:00:00,3,3,230.55,0.656,137.86,0.912,50.036,NORMAL
2026-01-01 03:15:00,3,3,229.05,0.812,175.25,0.943,49.969,NORMAL
2026-01-01 03:30:00,3,3,233.01,0.483,109.13,0.969,49.973,NORMAL
2026-01-01 03:45:00,3,3,230.41,0.654,136.63,0.907,50.038,NORMAL
2026-01-01 04:00:00,4,3,228.74,0.757,170.17,0.983,49.971,NORMAL
2026-01-01 04:15:00,4,3,230.59,0.749,163.99,0.949,49.993,NORMAL
2026-01-01 04:30:00,4,3,234.16,0.429,94.82,0.944,49.984,NORMAL
2026-01-01 04:45:00,4,3,227.64,0.631,141.69,0.987,49.985,NORMAL
2026-01-01 05:00:00,5,3,230.07,0.435,93.01,0.93,50.019,NORMAL
2026-01-01 05:15:00,5,3,231.34,0.665,138.58,0.901,50.091,NORMAL
2026-01-01 05:30:00,5,3,227.7,0.807,177.94,0.969,50.022,NORMAL
2026-01-01 05:45:00,5,3,225.76,0.816,168.17,0.913,49.892,NORMAL
2026-01-01 06:00:00,6,3,229.63,2.771,578.04,0.909,49.954,NORMAL
2026-01-01 06:15:00,6,3,227.99,1.899,396.54,0.916,50.022,NORMAL
2026-01-01 06:30:00,6,3,233.46,1.807,380.22,0.901,50.015,NORMAL
2026-01-01 06:45:00,6,3,231.3,2.136,488.82,0.989,49.946,NORMAL
2026-01-01 07:00:00,7,3,225.03,2.885,616.65,0.95,49.989,NORMAL
2026-01-01 07:15:00,7,3,229.81,2.478,540.33,0.949,50.004,NORMAL
2026-01-01 07:30:00,7,3,229.4,2.592,549.64,0.924,49.986,NORMAL
2026-01-01 07:45:00,7,3,231.95,3.033,661.06,0.94,49.991,NORMAL
2026-01-01 08:00:00,8,3,229.81,3.048,665.77,0.95,50.051,NORMAL
2026-01-01 08:15:00,8,3,231.22,1.567,344.19,0.95,49.96,NORMAL
2026-01-01 08:30:00,8,3,230.14,2.243,473.05,0.917,50.007,NORMAL
2026-01-01 08:45:00,8,3,230.7,2.555,539.15,0.915,50.023,NORMAL
2026-01-01 09:00:00,9,3,227.75,1.515,317.05,0.919,50.081,NORMAL
2026-01-01 09:15:00,9,3,225.17,1.593,334.53,0.933,49.994,NORMAL
2026-01-01 09:30:00,9,3,227.1,2.373,501.64,0.931,49.97,NORMAL
2026-01-01 09:45:00,9,3,231.05,1.303,272.74,0.906,50.003,NORMAL
2026-01-01 10:00:00,10,3,230.74,1.373,290.59,0.917,49.967,NORMAL
2026-01-01 10:15:00,10,3,229.02,1.464,309.31,0.922,50.049,NORMAL
2026-01-01 10:30:00,10,3,229.53,1.507,326.29,0.943,50.038,NORMAL
2026-01-01 10:45:00,10,3,228.73,1.145,248.16,0.948,50.012,NORMAL
2026-01-01 11:00:00,11,3,230.97,2.907,606.45,0.903,49.987,NORMAL
2026-01-01 11:15:00,11,3,231.31,2.106,443.56,0.91,49.993,NORMAL
2026-01-01 11:30:00,11,3,228.67,1.375,308.25,0.98,50.048,NORMAL
2026-01-01 11:45:00,11,3,229.79,2.484,548.54,0.961,50.029,NORMAL
2026-01-01 12:00:00,12,3,231.88,2.115,450.9,0.919,50.039,NORMAL
2026-01-01 12:15:00,12,3,231.65,2.164,469.16,0.936,50.017,NORMAL
2026-01-01 12:30:00,12,3,232.49,1.164,247.04,0.913,49.979,NORMAL
2026-01-01 12:45:00,12,3,231.25,1.904,410.12,0.931,49.99,NORMAL
2026-01-01 13:00:00,13,3,231.19,1.737,375.3,0.934,49.897,NORMAL
2026-01-01 13:15:00,13,3,231.08,2.668,575.83,0.934,49.952,NORMAL
2026-01-01 13:30:00,13,3,226.2,2.886,590.51,0.905,49.925,NORMAL
2026-01-01 13:45:00,13,3,226.97,2.429,521.79,0.946,49.9,NORMAL
2026-01-01 14:00:00,14,3,230.07,1.614,355.53,0.957,49.931,NORMAL
2026-01-01 14:15:00,14,3,229.68,2.157,450.84,0.91,50.045,NORMAL
2026-01-01 14:30:00,14,3,230.85,1.788,404.81,0.981,49.947,NORMAL
2026-01-01 14:45:00,14,3,233.1,1.152,252.62,0.941,50.027,NORMAL
2026-01-01 15:00:00,15,3,226.88,1.469,325.15,0.976,50.003,NORMAL
2026-01-01 15:15:00,15,3,232.33,1.81,382.49,0.91,49.953,NORMAL
2026-01-01 15:30:00,15,3,226.63,1.504,307.62,0.903,50.02,NORMAL
2026-01-01 15:45:00,15,3,226.66,1.821,397.77,0.964,50.045,NORMAL
2026-01-01 16:00:00,16,3,229.81,2.238,479.78,0.933,49.966,NORMAL
2026-01-01 16:15:00,16,3,228.78,2.538,545.28,0.939,49.906,NORMAL
2026-01-01 16:30:00,16,3,229.08,2.114,450.9,0.931,50.037,NORMAL
2026-01-01 16:45:00,16,3,227.96,2.0,435.26,0.954,49.942,NORMAL
2026-01-01 17:00:00,17,3,228.14,4.292,904.21,0.923,49.957,NORMAL
2026-01-01 17:15:00,17,3,229.19,3.07,644.87,0.916,49.971,NORMAL
2026-01-01 17:30:00,17,3,228.62,2.851,627.85,0.963,50.025,NORMAL
2026-01-01 17:45:00,17,3,228.14,2.561,531.43,0.91,49.96,NORMAL
2026-01-01 18:00:00,18,3,229.3,3.891,852.02,0.955,50.042,NORMAL
2026-01-01 18:15:00,18,3,230.22,2.376,521.17,0.953,50.055,NORMAL
2026-01-01 18:30:00,18,3,226.45,3.569,762.42,0.943,50.017,NORMAL
2026-01-01 18:45:00,18,3,228.42,4.333,976.73,0.987,49.956,NORMAL
2026-01-01 19:00:00,19,3,226.27,3.032,647.11,0.943,49.907,NORMAL
2026-01-01 19:15:00,19,3,232.24,4.255,947.47,0.959,50.052,NORMAL
2026-01-01 19:30:00,19,3,231.76,4.239,942.53,0.959,49.946,NORMAL
2026-01-01 19:45:00,19,3,228.38,3.585,803.74,0.982,50.011,NORMAL
2026-01-01 20:00:00,20,3,228.66,3.998,864.09,0.945,50.005,NORMAL
2026-01-01 20:15:00,20,3,227.69,2.601,560.4,0.946,49.987,NORMAL
2026-01-01 20:30:00,20,3,226.89,4.546,985.74,0.956,50.055,NORMAL
2026-01-01 20:45:00,20,3,229.6,3.725,798.55,0.934,49.992,NORMAL
2026-01-01 21:00:00,21,3,227.41,3.245,710.69,0.963,50.003,NORMAL
2026-01-01 21:15:00,21,3,232.16,3.441,790.72,0.99,50.043,NORMAL
2026-01-01 21:30:00,21,3,230.26,3.58,754.37,0.915,50.018,NORMAL
2026-01-01 21:45:00,21,3,234.65,4.191,899.35,0.914,50.0,NORMAL
2026-01-01 22:00:00,22,3,228.01,1.837,381.93,0.912,50.012,NORMAL
2026-01-01 22:15:00,22,3,231.69,1.697,354.05,0.901,50.052,NORMAL
2026-01-01 22:30:00,22,3,228.35,2.142,451.09,0.922,50.02,NORMAL
2026-01-01 22:45:00,22,3,232.77,1.469,325.55,0.952,50.004,NORMAL
2026-01-01 23:00:00,23,3,231.6,1.568,340.96,0.939,50.054,NORMAL
2026-01-01 23:15:00,23,3,232.42,1.363,297.67,0.939,49.972,NORMAL
2026-01-01 23:30:00,23,3,231.85,0.777,176.74,0.981,49.976,NORMAL
2026-01-01 23:45:00,23,3,231.07,1.521,331.87,0.944,49.933,NORMAL
2026-01-02 00:00:00,0,4,233.15,0.452,97.99,0.93,50.053,NORMAL
2026-01-02 00:15:00,0,4,229.51,0.464,101.49,0.952,50.012,NORMAL
2026-01-02 00:30:00,0,4,232.01,0.635,133.77,0.908,49.882,NORMAL
2026-01-02 00:45:00,0,4,230.3,0.673,146.09,0.942,50.048,NORMAL
2026-01-02 01:00:00,1,4,230.82,0.718,161.26,0.973,49.865,NORMAL
2026-01-02 01:15:00,1,4,225.66,0.411,88.83,0.959,50.013,NORMAL
2026-01-02 01:30:00,1,4,232.57,0.675,154.06,0.982,50.004,NORMAL
2026-01-02 01:45:00,1,4,230.27,0.877,182.77,0.905,49.917,NORMAL
2026-01-02 02:00:00,2,4,229.89,0.762,158.4,0.904,49.972,NORMAL
2026-01-02 02:15:00,2,4,226.8,0.51,114.23,0.987,50.007,NORMAL
2026-01-02 02:30:00,2,4,232.0,0.779,167.65,0.928,49.974,NORMAL
2026-01-02 02:45:00,2,4,232.48,0.714,155.25,0.935,50.043,NORMAL
2026-01-02 03:00:00,3,4,231.24,0.332,75.11,0.978,50.021,NORMAL
2026-01-02 03:15:00,3,4,231.91,0.596,129.26,0.935,50.03,NORMAL
2026-01-02 03:30:00,3,4,228.97,0.598,123.79,0.903,49.913,NORMAL
2026-01-02 03:45:00,3,4,228.99,0.402,89.43,0.972,49.987,NORMAL
2026-01-02 04:00:00,4,4,231.41,0.657,144.6,0.951,50.05,NORMAL
2026-01-02 04:15:00,4,4,227.35,0.547,113.38,0.912,50.003,NORMAL
2026-01-02 04:30:00,4,4,231.07,0.488,103.57,0.919,50.05,NORMAL
2026-01-02 04:45:00,4,4,228.97,0.465,101.68,0.954,50.02,NORMAL
2026-01-02 05:00:00,5,4,231.12,0.558,123.01,0.954,49.991,NORMAL
2026-01-02 05:15:00,5,4,228.21,0.576,123.83,0.942,49.996,NORMAL
2026-01-02 05:30:00,5,4,231.67,0.515,107.47,0.901,49.977,NORMAL
2026-01-02 05:45:00,5,4,233.07,0.768,167.95,0.938,49.913,NORMAL
2026-01-02 06:00:00,6,4,231.56,2.278,516.22,0.979,50.045,NORMAL
2026-01-02 06:15:00,6,4,227.14,3.258,673.86,0.911,50.002,NORMAL
2026-01-02 06:30:00,6,4,226.41,1.487,313.37,0.931,49.979,NORMAL
2026-01-02 06:45:00,6,4,231.27,2.466,529.29,0.928,50.001,NORMAL
2026-01-02 07:00:00,7,4,232.14,2.743,623.56,0.979,49.963,NORMAL
2026-01-02 07:15:00,7,4,230.72,2.678,587.2,0.951,50.06,NORMAL
2026-01-02 07:30:00,7,4,231.15,3.16,694.53,0.951,50.051,NORMAL
2026-01-02 07:45:00,7,4,232.47,2.076,475.13,0.985,50.0,NORMAL
2026-01-02 08:00:00,8,4,225.67,3.0,666.7,0.985,49.91,NORMAL
2026-01-02 08:15:00,8,4,231.03,2.327,502.63,0.935,50.099,NORMAL
2026-01-02 08:30:00,8,4,232.6,2.038,448.33,0.946,50.047,NORMAL
2026-01-02 08:45:00,8,4,229.02,2.226,472.73,0.927,49.988,NORMAL
2026-01-02 09:00:00,9,4,227.76,1.36,305.09,0.985,50.092,NORMAL
2026-01-02 09:15:00,9,4,226.85,2.73,578.59,0.934,49.971,NORMAL
2026-01-02 09:30:00,9,4,229.12,2.234,470.85,0.92,49.941,NORMAL
2026-01-02 09:45:00,9,4,232.54,1.93,431.49,0.961,49.864,NORMAL
2026-01-02 10:00:00,10,4,230.85,1.322,285.74,0.936,50.014,NORMAL
2026-01-02 10:15:00,10,4,234.81,1.484,341.42,0.98,49.998,NORMAL
2026-01-02 10:30:00,10,4,230.91,1.781,391.77,0.952,49.979,NORMAL
2026-01-02 10:45:00,10,4,230.11,1.754,374.17,0.927,49.943,NORMAL
2026-01-02 11:00:00,11,4,234.17,2.261,484.14,0.914,49.953,NORMAL
2026-01-02 11:15:00,11,4,227.8,1.378,289.41,0.922,50.03,NORMAL
2026-01-02 11:30:00,11,4,233.89,2.183,504.0,0.987,50.078,NORMAL
2026-01-02 11:45:00,11,4,231.3,1.661,358.57,0.933,49.997,NORMAL
2026-01-02 12:00:00,12,4,230.46,1.335,284.61,0.925,49.941,NORMAL
