voltage,current,power,power_factor,frequency,hour,day_of_week,apparent_power,reactive_power_estimate,power_change,power_ratio,voltage_deviation,frequency_deviation,power_factor_deviation,night_flag,high_load_flag,condition,label
227.99,0.633,134.84,0.934,49.96,0,3,144.318,51.561,4.84,1.037,2.01,0.04,0.016,1,0,NORMAL,0
231.87,0.73,165.59,0.978,49.975,0,3,169.265,35.31,35.59,1.274,1.87,0.025,0.028,1,0,NORMAL,0
226.9,0.365,79.47,0.961,49.955,0,3,82.819,22.903,-50.53,0.611,3.1,0.045,0.011,1,0,NORMAL,0
232.25,0.672,150.79,0.966,49.969,0,3,156.072,40.351,20.79,1.16,2.25,0.031,0.016,1,0,NORMAL,0
228.81,0.484,105.76,0.955,50.094,1,3,110.744,32.847,-24.24,0.814,1.19,0.094,0.005,1,0,NORMAL,0
228.91,0.433,95.54,0.963,49.917,1,3,99.118,26.712,-34.46,0.735,1.09,0.083,0.013,1,0,NORMAL,0
226.77,0.833,181.3,0.96,50.096,1,3,188.899,52.892,51.3,1.395,3.23,0.096,0.01,1,0,NORMAL,0
231.25,0.846,178.05,0.91,49.967,1,3,195.637,81.113,48.05,1.37,1.25,0.033,0.04,1,0,NORMAL,0
230.2,0.575,128.28,0.969,50.07,2,3,132.365,32.702,-1.72,0.987,0.2,0.07,0.019,1,0,NORMAL,0
229.87,0.804,170.91,0.925,50.014,2,3,184.815,70.224,40.91,1.315,0.13,0.014,0.025,1,0,NORMAL,0
229.51,0.52,113.67,0.952,50.105,2,3,119.345,36.531,-16.33,0.874,0.49,0.105,0.002,1,0,NORMAL,0
230.83,0.708,153.08,0.937,49.96,2,3,163.428,57.09,23.08,1.178,0.83,0.04,0.013,1,0,NORMAL,0
230.55,0.656,137.86,0.912,50.036,3,3,151.241,62.037,7.86,1.06,0.55,0.036,0.038,1,0,NORMAL,0
229.05,0.812,175.25,0.943,49.969,3,3,185.989,61.896,45.25,1.348,0.95,0.031,0.007,1,0,NORMAL,0
233.01,0.483,109.13,0.969,49.973,3,3,112.544,27.805,-20.87,0.839,3.01,0.027,0.019,1,0,NORMAL,0
230.41,0.654,136.63,0.907,50.038,3,3,150.688,63.459,6.63,1.051,0.41,0.038,0.043,1,0,NORMAL,0
228.74,0.757,170.17,0.983,49.971,4,3,173.156,31.792,40.17,1.309,1.26,0.029,0.033,1,0,NORMAL,0
230.59,0.749,163.99,0.949,49.993,4,3,172.712,54.452,33.99,1.261,0.59,0.007,0.001,1,0,NORMAL,0
234.16,0.429,94.82,0.944,49.984,4,3,100.455,33.145,-35.18,0.729,4.16,0.016,0.006,1,0,NORMAL,0
227.64,0.631,141.69,0.987,49.985,4,3,143.641,23.086,11.69,1.09,2.36,0.015,0.037,1,0,NORMAL,0
230.07,0.435,93.01,0.93,50.019,5,3,100.08,36.786,-36.99,0.715,0.07,0.019,0.02,1,0,NORMAL,0
231.34,0.665,138.58,0.901,50.091,5,3,153.841,66.739,8.58,1.066,1.34,0.091,0.049,1,0,NORMAL,0
227.7,0.807,177.94,0.969,50.022,5,3,183.754,45.398,47.94,1.369,2.3,0.022,0.019,1,0,NORMAL,0
225.76,0.816,168.17,0.913,49.892,5,3,184.22,75.154,38.17,1.294,4.24,0.108,0.037,1,0,NORMAL,0
229.63,2.771,578.04,0.909,49.954,6,3,636.305,265.209,78.04,1.156,0.37,0.046,0.041,0,0,NORMAL,0
227.99,1.899,396.54,0.916,50.022,6,3,432.953,173.691,-103.46,0.793,2.01,0.022,0.034,0,0,NORMAL,0
233.46,1.807,380.22,0.901,50.015,6,3,421.862,183.012,-119.78,0.76,3.46,0.015,0.049,0,0,NORMAL,0
231.3,2.136,488.82,0.989,49.946,6,3,494.057,73.079,-11.18,0.978,1.3,0.054,0.039,0,0,NORMAL,0
225.03,2.885,616.65,0.95,49.989,7,3,649.212,202.716,116.65,1.233,4.97,0.011,0.0,0,0,NORMAL,0
229.81,2.478,540.33,0.949,50.004,7,3,569.469,179.54,40.33,1.081,0.19,0.004,0.001,0,0,NORMAL,0
229.4,2.592,549.64,0.924,49.986,7,3,594.605,227.372,49.64,1.099,0.6,0.014,0.026,0,0,NORMAL,0
231.95,3.033,661.06,0.94,49.991,7,3,703.504,240.018,161.06,1.322,1.95,0.009,0.01,0,0,NORMAL,0
229.81,3.048,665.77,0.95,50.051,8,3,700.461,218.719,165.77,1.332,0.19,0.051,0.0,0,0,NORMAL,0
231.22,1.567,344.19,0.95,49.96,8,3,362.322,113.135,-155.81,0.688,1.22,0.04,0.0,0,0,NORMAL,0
230.14,2.243,473.05,0.917,50.007,8,3,516.204,205.907,-26.95,0.946,0.14,0.007,0.033,0,0,NORMAL,0
230.7,2.555,539.15,0.915,50.023,8,3,589.438,237.811,39.15,1.078,0.7,0.023,0.035,0,0,NORMAL,0
227.75,1.515,317.05,0.919,50.081,9,3,345.041,136.035,-107.95,0.746,2.25,0.081,0.031,0,0,NORMAL,0
225.17,1.593,334.53,0.933,49.994,9,3,358.696,129.086,-90.47,0.787,4.83,0.006,0.017,0,0,NORMAL,0
227.1,2.373,501.64,0.931,49.97,9,3,538.908,196.712,76.64,1.18,2.9,0.03,0.019,0,0,NORMAL,0
